length,prob
0.012,0.005208333333333333
0.026,0.005208333333333333
0.027,0.005208333333333333
0.036,0.005208333333333333
0.042,0.005208333333333333
0.055,0.010416666666666666
0.062,0.005208333333333333
0.064,0.005208333333333333
0.067,0.005208333333333333
0.081,0.005208333333333333
0.09,0.005208333333333333
0.105,0.005208333333333333
0.107,0.005208333333333333
0.113,0.005208333333333333
0.118,0.005208333333333333
0.123,0.005208333333333333
0.125,0.005208333333333333
0.128,0.005208333333333333
0.13,0.005208333333333333
0.135,0.005208333333333333
0.148,0.005208333333333333
0.169,0.005208333333333333
0.214,0.005208333333333333
0.216,0.005208333333333333
0.241,0.005208333333333333
0.275,0.005208333333333333
0.323,0.005208333333333333
0.349,0.010416666666666666
0.368,0.005208333333333333
0.396,0.005208333333333333
0.432,0.005208333333333333
0.446,0.005208333333333333
0.46,0.005208333333333333
0.474,0.005208333333333333
0.504,0.005208333333333333
0.573,0.005208333333333333
0.778,0.005208333333333333
0.783,0.005208333333333333
0.821,0.005208333333333333
0.86,0.005208333333333333
0.861,0.005208333333333333
0.95,0.005208333333333333
0.958,0.005208333333333333
1.031,0.005208333333333333
1.085,0.005208333333333333
1.094,0.005208333333333333
1.328,0.005208333333333333
1.369,0.005208333333333333
1.42,0.010416666666666666
1.425,0.005208333333333333
1.623,0.005208333333333333
1.696,0.005208333333333333
1.949,0.005208333333333333
2.119,0.005208333333333333
2.223,0.005208333333333333
2.617,0.005208333333333333
2.677,0.005208333333333333
2.911,0.005208333333333333
3.394,0.005208333333333333
3.428,0.005208333333333333
3.62,0.005208333333333333
3.661,0.005208333333333333
3.745,0.005208333333333333
3.76,0.005208333333333333
3.991,0.005208333333333333
4.387,0.005208333333333333
4.414,0.005208333333333333
4.444,0.005208333333333333
4.49,0.005208333333333333
4.946,0.005208333333333333
4.967,0.005208333333333333
5.287,0.005208333333333333
5.346,0.005208333333333333
5.472,0.005208333333333333
6.163,0.010416666666666666
6.273,0.005208333333333333
6.501,0.005208333333333333
6.746,0.005208333333333333
6.929,0.005208333333333333
7.157,0.005208333333333333
7.167,0.005208333333333333
7.327,0.005208333333333333
7.41,0.005208333333333333
7.483,0.005208333333333333
7.492,0.005208333333333333
7.702,0.005208333333333333
7.894,0.005208333333333333
7.921,0.005208333333333333
7.931,0.005208333333333333
7.959,0.005208333333333333
8.623,0.010416666666666666
8.747,0.005208333333333333
9.241,0.005208333333333333
9.243,0.005208333333333333
9.29,0.005208333333333333
9.556,0.005208333333333333
9.943,0.005208333333333333
10.233,0.005208333333333333
11.301,0.005208333333333333
11.939,0.005208333333333333
13.152,0.005208333333333333
13.236,0.005208333333333333
13.356,0.005208333333333333
13.385,0.005208333333333333
14.038,0.005208333333333333
14.653,0.005208333333333333
15.028,0.005208333333333333
16.177,0.005208333333333333
16.45,0.005208333333333333
17.495,0.015625
17.618,0.005208333333333333
17.972,0.005208333333333333
18.873,0.005208333333333333
18.888,0.005208333333333333
18.891,0.005208333333333333
20.141,0.010416666666666666
20.166,0.005208333333333333
20.317,0.005208333333333333
20.329,0.005208333333333333
20.353,0.005208333333333333
21.303,0.005208333333333333
21.782,0.005208333333333333
21.965,0.005208333333333333
23.154,0.005208333333333333
23.288,0.005208333333333333
23.973,0.005208333333333333
24.905,0.005208333333333333
27.328,0.005208333333333333
32.098,0.010416666666666666
32.282,0.005208333333333333
32.438,0.005208333333333333
32.881,0.005208333333333333
33.145,0.005208333333333333
33.401,0.005208333333333333
34.919,0.005208333333333333
35.894,0.005208333333333333
37.667,0.010416666666666666
38.927,0.005208333333333333
40.045,0.005208333333333333
41.056,0.005208333333333333
42.379,0.005208333333333333
44.035,0.005208333333333333
46.729,0.005208333333333333
48.896,0.010416666666666666
48.977,0.005208333333333333
51.873,0.010416666666666666
52.216,0.005208333333333333
56.143,0.005208333333333333
60.958,0.010416666666666666
62.028,0.005208333333333333
62.584,0.010416666666666666
69.852,0.005208333333333333
70.026,0.010416666666666666
73.922,0.010416666666666666
80.707,0.005208333333333333
84.557,0.005208333333333333
85.212,0.005208333333333333
89.585,0.005208333333333333
89.921,0.005208333333333333
90.084,0.005208333333333333
93.113,0.010416666666666666
102.453,0.005208333333333333
104.038,0.005208333333333333
111.852,0.005208333333333333
124.576,0.005208333333333333
136.734,0.005208333333333333
139.181,0.005208333333333333
176.746,0.010416666666666666
180.799,0.010416666666666666
190.104,0.005208333333333333
223.272,0.010416666666666666
1342.366,0.005208333333333333
